date,city,count_review,avg_stars,diff_precip,avg_temp
2015-01-01,Las Vegas,1900,3.5921,0.0,35.5
2015-01-02,Las Vegas,2900,3.5845,0.0,37.0
2015-01-03,Las Vegas,2720,3.6857,0.0,40.0
2015-01-04,Las Vegas,2740,3.5858,0.0,41.0
2015-01-05,Las Vegas,2715,3.7145,0.0,46.5
2015-01-06,Las Vegas,2635,3.7268,0.0,53.0
2015-01-07,Las Vegas,2390,3.7594,0.0,57.5
2015-01-08,Las Vegas,2350,3.7851,0.0,56.0
2015-01-09,Las Vegas,2395,3.7411,0.0,53.5
2015-01-10,Las Vegas,2115,3.7069,0.0,56.0
2015-01-11,Las Vegas,2610,3.5651,0.0,51.5
2015-01-12,Las Vegas,2270,3.7247,0.0,53.0
2015-01-13,Las Vegas,2060,3.7985,0.0,53.0
2015-01-14,Las Vegas,1965,3.6641,0.0,50.0
2015-01-15,Las Vegas,2010,3.8209,0.0,47.5
2015-01-16,Las Vegas,1885,3.6552,0.0,48.0
2015-01-17,Las Vegas,2290,3.7751,0.0,51.0
2015-01-18,Las Vegas,2445,3.6933,0.0,52.0
2015-01-19,Las Vegas,2875,3.6209,0.0,54.0
2015-01-20,Las Vegas,2195,3.7267,0.0,50.0
2015-01-21,Las Vegas,1965,3.6896,0.0,54.0
2015-01-22,Las Vegas,1975,3.8557,0.0,46.5
2015-01-23,Las Vegas,2185,3.8535,0.0,48.5
2015-01-24,Las Vegas,2425,3.7567,0.0,58.0
2015-01-25,Las Vegas,2585,3.7408,0.0,59.0
2015-01-26,Las Vegas,2340,3.7927,0.05,58.5
2015-01-27,Las Vegas,2070,3.9179,0.09,55.5
2015-01-28,Las Vegas,2060,3.8956,0.0,55.0
2015-01-29,Las Vegas,1935,3.8165,0.0,59.0
2015-01-30,Las Vegas,1955,3.7928,0.26,53.5
2015-01-31,Las Vegas,1990,3.7337,0.07,56.0
2015-02-01,Las Vegas,2390,3.705,0.0,53.5
2015-02-02,Las Vegas,1895,3.7784,0.0,55.0
2015-02-03,Las Vegas,2230,3.7937,0.0,56.0
2015-02-04,Las Vegas,1835,3.6921,0.0,58.0
2015-02-05,Las Vegas,1820,3.8709,0.0,58.0
2015-02-06,Las Vegas,1690,3.7604,0.0,59.5
2015-02-07,Las Vegas,1995,3.7769,0.0,67.5
2015-02-08,Las Vegas,2585,3.8743,0.0,63.5
2015-02-09,Las Vegas,2310,3.7078,0.0,65.5
2015-02-10,Las Vegas,2020,3.7673,0.0,64.0
2015-02-11,Las Vegas,2010,3.8035,0.0,62.5
2015-02-12,Las Vegas,1930,3.8031,0.0,59.0
2015-02-13,Las Vegas,1885,3.634,0.0,63.5
2015-02-14,Las Vegas,2360,3.7203,0.0,62.5
2015-02-15,Las Vegas,3060,3.5033,0.0,64.0
2015-02-16,Las Vegas,3025,3.5537,0.0,61.0
2015-02-17,Las Vegas,2565,3.7739,0.0,56.5
2015-02-18,Las Vegas,2295,3.6558,0.0,57.5
2015-02-19,Las Vegas,2320,3.6228,0.0,60.5
2015-02-20,Las Vegas,2295,3.7473,0.0,61.0
2015-02-21,Las Vegas,2500,3.742,0.0,59.0
2015-02-22,Las Vegas,2905,3.6265,0.07,51.0
2015-02-23,Las Vegas,2340,3.765,0.44,43.0
2015-02-24,Las Vegas,2040,3.8309,0.0,54.5
2015-02-25,Las Vegas,2310,3.8918,0.0,55.5
2015-02-26,Las Vegas,1740,3.7816,0.0,58.0
2015-02-27,Las Vegas,1945,3.8123,0.0,55.0
2015-02-28,Las Vegas,2390,3.7238,0.0,56.0
2015-03-01,Las Vegas,2550,3.6392,0.25,51.0
2015-03-02,Las Vegas,2720,3.6599,0.1,50.5
2015-03-03,Las Vegas,1995,3.6115,0.03,48.0
2015-03-04,Las Vegas,2320,3.8039,0.0,50.5
2015-03-05,Las Vegas,1885,3.6711,0.0,51.5
2015-03-06,Las Vegas,1880,3.8617,0.0,57.5
2015-03-07,Las Vegas,2425,3.7814,0.0,60.0
2015-03-08,Las Vegas,2565,3.6413,0.0,62.5
2015-03-09,Las Vegas,2600,3.6346,0.0,65.5
2015-03-10,Las Vegas,2160,3.7384,0.0,63.0
2015-03-11,Las Vegas,2100,3.7452,0.0,62.5
2015-03-12,Las Vegas,2160,3.8519,0.0,64.5
2015-03-13,Las Vegas,1950,3.7,0.0,69.5
2015-03-14,Las Vegas,2265,3.7307,0.0,67.5
2015-03-15,Las Vegas,2605,3.6871,0.0,68.5
2015-03-16,Las Vegas,2470,3.6822,0.0,69.5
2015-03-17,Las Vegas,2160,3.8611,0.0,68.5
2015-03-18,Las Vegas,2050,3.6195,0.0,69.0
2015-03-19,Las Vegas,2055,3.6107,0.0,68.5
2015-03-20,Las Vegas,1905,3.7585,0.0,65.5
2015-03-21,Las Vegas,2200,3.7091,0.0,69.0
2015-03-22,Las Vegas,2760,3.721,0.0,69.5
2015-03-23,Las Vegas,2365,3.7252,0.0,67.0
2015-03-24,Las Vegas,2285,3.7746,0.0,69.0
2015-03-25,Las Vegas,2310,3.7727,0.0,70.5
2015-03-26,Las Vegas,2300,3.7652,0.0,67.5
2015-03-27,Las Vegas,1855,3.7871,0.0,71.5
2015-03-28,Las Vegas,2400,3.7292,0.0,74.0
2015-03-29,Las Vegas,2565,3.7992,0.0,74.5
2015-03-30,Las Vegas,2570,3.7082,0.0,74.5
2015-03-31,Las Vegas,2470,3.7328,0.0,74.5
2015-04-01,Las Vegas,2350,3.7255,0.0,72.5
2015-04-02,Las Vegas,2500,3.666,0.0,66.5
2015-04-03,Las Vegas,2240,3.8638,0.0,61.5
2015-04-04,Las Vegas,2485,3.7324,0.0,63.0
2015-04-05,Las Vegas,2320,3.6509,0.0,69.0
2015-04-06,Las Vegas,2640,3.6288,0.0,63.5
2015-04-07,Las Vegas,2360,3.7203,0.0,62.0
2015-04-08,Las Vegas,2410,3.7241,0.0,58.5
2015-04-09,Las Vegas,2275,3.8352,0.0,59.5
2015-04-10,Las Vegas,2165,3.806,0.0,63.5
2015-04-11,Las Vegas,2340,3.7286,0.0,66.5
2015-04-12,Las Vegas,2750,3.6273,0.0,73.0
2015-04-13,Las Vegas,2660,3.6297,0.0,73.0
2015-04-14,Las Vegas,2415,3.7246,0.0,69.5
2015-04-15,Las Vegas,2680,3.7892,0.0,58.0
2015-04-16,Las Vegas,2050,3.761,0.0,61.5
2015-04-17,Las Vegas,2130,3.7418,0.0,66.5
2015-04-18,Las Vegas,2150,3.6349,0.0,71.0
2015-04-19,Las Vegas,2855,3.6725,0.0,74.0
2015-04-20,Las Vegas,2480,3.8125,0.0,75.0
2015-04-21,Las Vegas,2305,3.7896,0.0,72.0
2015-04-22,Las Vegas,2285,3.8053,0.0,68.0
2015-04-23,Las Vegas,1880,3.6622,0.0,66.5
2015-04-24,Las Vegas,2020,3.8069,0.0,66.0
2015-04-25,Las Vegas,2500,3.686,0.16,62.0
2015-04-26,Las Vegas,2690,3.7379,0.0,64.5
2015-04-27,Las Vegas,2495,3.7194,0.0,70.0
2015-04-28,Las Vegas,2190,3.8653,0.0,74.0
2015-04-29,Las Vegas,2200,3.7818,0.0,77.0
2015-04-30,Las Vegas,2235,3.7226,0.0,80.0
2015-05-01,Las Vegas,1980,3.8106,0.0,81.0
2015-05-02,Las Vegas,1805,3.7562,0.0,80.0
2015-05-03,Las Vegas,1615,3.6873,0.0,77.5
2015-05-04,Las Vegas,2020,3.7748,0.0,73.5
2015-05-05,Las Vegas,1970,3.8122,0.0,73.5
2015-05-06,Las Vegas,2010,3.6194,0.0,74.0
2015-05-07,Las Vegas,1985,3.7985,0.0,68.5
2015-05-08,Las Vegas,2210,3.8258,0.0,57.5
2015-05-09,Las Vegas,2200,3.7909,0.0,61.5
2015-05-10,Las Vegas,2615,3.7553,0.0,69.0
2015-05-11,Las Vegas,2815,3.5915,0.0,74.0
2015-05-12,Las Vegas,2310,3.9026,0.0,76.5
2015-05-13,Las Vegas,2390,3.9163,0.0,75.0
2015-05-14,Las Vegas,2330,3.8455,0.0,65.5
2015-05-15,Las Vegas,2175,3.8552,0.0,61.5
2015-05-16,Las Vegas,2220,3.7523,0.0,64.0
2015-05-17,Las Vegas,2665,3.7392,0.0,69.0
2015-05-18,Las Vegas,2715,3.6464,0.0,66.0
2015-05-19,Las Vegas,2050,3.8707,0.0,68.0
2015-05-20,Las Vegas,2135,3.7986,0.0,72.0
2015-05-21,Las Vegas,2120,3.8585,0.0,72.0
2015-05-22,Las Vegas,2030,3.7882,0.0,66.0
2015-05-23,Las Vegas,2115,3.7565,0.0,69.0
2015-05-24,Las Vegas,2900,3.6966,0.02,71.5
2015-05-25,Las Vegas,3205,3.6349,0.0,73.0
2015-05-26,Las Vegas,2870,3.6794,0.0,80.0
2015-05-27,Las Vegas,2370,3.7574,0.0,80.5
2015-05-28,Las Vegas,2395,3.8017,0.0,83.0
2015-05-29,Las Vegas,2320,3.7802,0.0,86.0
2015-05-30,Las Vegas,2765,3.8517,0.0,86.5
2015-05-31,Las Vegas,2680,3.8116,0.0,88.0
2015-06-01,Las Vegas,2905,3.7659,0.0,87.0
2015-06-02,Las Vegas,2360,3.7521,0.0,82.0
2015-06-03,Las Vegas,2495,3.8858,0.0,81.0
2015-06-04,Las Vegas,2195,3.7859,0.0,81.5
2015-06-05,Las Vegas,2160,3.7662,0.0,78.5
2015-06-06,Las Vegas,2310,3.8463,0.0,79.5
2015-06-07,Las Vegas,2880,3.7153,0.0,81.5
2015-06-08,Las Vegas,2590,3.6467,0.0,86.5
2015-06-09,Las Vegas,2370,3.6814,0.0,84.0
2015-06-10,Las Vegas,2540,3.7402,0.0,84.0
2015-06-11,Las Vegas,2510,3.7211,0.0,85.0
2015-06-12,Las Vegas,2085,3.7698,0.0,89.0
2015-06-13,Las Vegas,2445,3.8814,0.0,92.0
2015-06-14,Las Vegas,2535,3.7712,0.0,92.5
2015-06-15,Las Vegas,2630,3.8232,0.0,93.5
2015-06-16,Las Vegas,2360,3.6377,0.0,94.0
2015-06-17,Las Vegas,2350,3.7383,0.0,90.5
2015-06-18,Las Vegas,2260,3.8584,0.0,91.0
2015-06-19,Las Vegas,2560,3.6699,0.0,92.5
2015-06-20,Las Vegas,2420,3.7417,0.0,96.0
2015-06-21,Las Vegas,2690,3.7677,0.0,96.0
2015-06-22,Las Vegas,2760,3.683,0.0,93.0
2015-06-23,Las Vegas,3150,3.6778,0.0,91.5
2015-06-24,Las Vegas,2810,3.726,0.0,92.0
2015-06-25,Las Vegas,2680,3.8731,0.0,94.0
2015-06-26,Las Vegas,2645,3.7996,0.0,99.5
2015-06-27,Las Vegas,2915,3.7238,0.0,99.0
2015-06-28,Las Vegas,3180,3.8679,0.0,97.5
2015-06-29,Las Vegas,3230,3.7322,0.0,99.0
2015-06-30,Las Vegas,2460,3.815,0.0,101.0
2015-07-01,Las Vegas,2660,3.7387,0.0,96.5
2015-07-02,Las Vegas,2400,3.7063,0.0,92.0
2015-07-03,Las Vegas,2545,3.8055,0.0,97.0
2015-07-04,Las Vegas,2890,3.7353,0.0,95.0
2015-07-05,Las Vegas,2610,3.7184,0.0,94.0
2015-07-06,Las Vegas,3160,3.7342,0.0,87.0
2015-07-07,Las Vegas,2875,3.7461,0.0,87.0
2015-07-08,Las Vegas,2645,3.7675,0.0,92.0
2015-07-09,Las Vegas,2600,3.7692,0.0,85.5
2015-07-10,Las Vegas,2595,3.8015,0.0,82.0
2015-07-11,Las Vegas,2760,3.7518,0.0,84.0
2015-07-12,Las Vegas,2795,3.7424,0.0,86.5
2015-07-13,Las Vegas,3155,3.8162,0.0,89.0
2015-07-14,Las Vegas,2730,3.6868,0.0,89.5
2015-07-15,Las Vegas,2680,3.6679,0.0,87.5
2015-07-16,Las Vegas,2675,3.8617,0.0,89.5
2015-07-17,Las Vegas,2550,3.8412,0.0,90.5
2015-07-18,Las Vegas,2920,3.8425,0.0,85.5
2015-07-19,Las Vegas,3450,3.7638,0.0,83.0
2015-07-20,Las Vegas,2985,3.6482,0.0,78.5
2015-07-21,Las Vegas,2660,3.7613,0.0,86.0
2015-07-22,Las Vegas,2735,3.7642,0.0,89.5
2015-07-23,Las Vegas,2590,3.8842,0.0,88.0
2015-07-24,Las Vegas,2575,3.765,0.0,88.5
2015-07-25,Las Vegas,2770,3.7419,0.0,88.0
2015-07-26,Las Vegas,3240,3.6713,0.0,88.0
2015-07-27,Las Vegas,3140,3.828,0.0,90.0
2015-07-28,Las Vegas,2875,3.8261,0.0,90.0
2015-07-29,Las Vegas,2950,3.7915,0.0,89.0
2015-07-30,Las Vegas,3045,3.8292,0.0,94.0
2015-07-31,Las Vegas,2415,3.8965,0.0,96.0
2015-08-01,Las Vegas,2915,3.7667,0.0,84.0
2015-08-02,Las Vegas,3040,3.7171,0.0,86.5
2015-08-03,Las Vegas,2705,3.7911,0.0,91.5
2015-08-04,Las Vegas,2510,3.8446,0.0,91.0
2015-08-05,Las Vegas,2545,3.7092,0.0,95.0
2015-08-06,Las Vegas,2335,3.7923,0.0,91.0
2015-08-07,Las Vegas,2640,3.8428,0.0,85.0
2015-08-08,Las Vegas,2825,3.7611,0.0,87.5
2015-08-09,Las Vegas,2990,3.7191,0.0,86.0
2015-08-10,Las Vegas,3115,3.7785,0.0,91.0
2015-08-11,Las Vegas,2575,3.8718,0.0,92.5
2015-08-12,Las Vegas,2570,3.8171,0.0,90.0
2015-08-13,Las Vegas,2665,3.7467,0.0,92.5
2015-08-14,Las Vegas,2560,3.7578,0.0,91.0
2015-08-15,Las Vegas,2585,3.7776,0.0,94.5
2015-08-16,Las Vegas,2745,3.776,0.0,96.0
2015-08-17,Las Vegas,2890,3.7699,0.0,95.5
2015-08-18,Las Vegas,2765,3.7722,0.0,95.0
2015-08-19,Las Vegas,2680,3.8619,0.0,93.5
2015-08-20,Las Vegas,2265,3.8344,0.0,93.5
2015-08-21,Las Vegas,2460,3.7947,0.0,92.5
2015-08-22,Las Vegas,2760,3.7663,0.0,92.0
2015-08-23,Las Vegas,3135,3.7337,0.0,92.0
2015-08-24,Las Vegas,2830,3.6908,0.0,92.0
2015-08-25,Las Vegas,2550,3.702,0.0,89.0
2015-08-26,Las Vegas,2190,3.9178,0.0,89.0
2015-08-27,Las Vegas,2430,3.9012,0.0,90.0
2015-08-28,Las Vegas,2390,3.8766,0.0,91.5
2015-08-29,Las Vegas,2760,3.7192,0.0,94.0
2015-08-30,Las Vegas,3130,3.7157,0.0,92.5
2015-08-31,Las Vegas,2695,3.8108,0.0,89.5
2015-09-01,Las Vegas,2245,3.7884,0.0,86.5
2015-09-02,Las Vegas,2025,3.7852,0.0,90.0
2015-09-03,Las Vegas,1945,3.8509,0.0,89.5
2015-09-04,Las Vegas,2475,3.7798,0.0,85.0
2015-09-05,Las Vegas,2675,3.7757,0.0,83.0
2015-09-06,Las Vegas,2795,3.7317,0.0,82.0
2015-09-07,Las Vegas,3075,3.6764,0.0,88.5
2015-09-08,Las Vegas,2660,3.7199,0.0,89.0
2015-09-09,Las Vegas,2210,3.905,0.0,90.5
2015-09-10,Las Vegas,2325,3.7849,0.0,91.0
2015-09-11,Las Vegas,2300,3.8043,0.0,90.5
2015-09-12,Las Vegas,2495,3.7715,0.0,88.5
2015-09-13,Las Vegas,2725,3.7633,0.0,89.0
2015-09-14,Las Vegas,2320,3.7586,0.0,87.0
2015-09-15,Las Vegas,2375,3.8674,0.0,78.0
2015-09-16,Las Vegas,2335,3.8158,0.0,79.0
2015-09-17,Las Vegas,2220,3.9302,0.0,77.0
2015-09-18,Las Vegas,2175,3.9195,0.0,78.5
2015-09-19,Las Vegas,2685,3.9106,0.0,80.5
2015-09-20,Las Vegas,2910,3.8247,0.0,82.5
2015-09-21,Las Vegas,2375,3.7053,0.0,84.0
2015-09-22,Las Vegas,2275,3.767,0.0,85.5
2015-09-23,Las Vegas,2375,3.8295,0.0,84.5
2015-09-24,Las Vegas,2330,3.882,0.0,88.5
2015-09-25,Las Vegas,2115,3.8061,0.0,87.0
2015-09-26,Las Vegas,2525,3.7545,0.0,87.0
2015-09-27,Las Vegas,2805,3.7879,0.0,87.0
2015-09-28,Las Vegas,2945,3.781,0.0,87.5
2015-09-29,Las Vegas,2170,3.8825,0.0,85.0
2015-09-30,Las Vegas,2305,3.8525,0.0,85.0
2015-10-01,Las Vegas,1995,3.8421,0.0,84.0
2015-10-02,Las Vegas,1935,3.8527,0.0,77.5
2015-10-03,Las Vegas,2600,3.7615,0.0,76.5
2015-10-04,Las Vegas,2655,3.7024,0.0,75.5
2015-10-05,Las Vegas,2430,3.8169,0.55,62.5
2015-10-06,Las Vegas,2300,3.8022,0.0,67.0
2015-10-07,Las Vegas,2110,3.9336,0.0,73.0
2015-10-08,Las Vegas,2145,3.8462,0.0,81.0
2015-10-09,Las Vegas,2205,3.8095,0.0,82.5
2015-10-10,Las Vegas,2650,3.8811,0.0,80.5
2015-10-11,Las Vegas,2730,3.6612,0.0,79.5
2015-10-12,Las Vegas,2640,3.6402,0.0,81.5
2015-10-13,Las Vegas,2370,3.6793,0.0,80.5
2015-10-14,Las Vegas,2325,3.9677,0.0,80.5
2015-10-15,Las Vegas,2335,3.8458,0.0,79.0
2015-10-16,Las Vegas,2270,3.8018,0.12,72.0
2015-10-17,Las Vegas,2585,3.7892,0.04,71.5
2015-10-18,Las Vegas,2860,3.7255,0.24,68.0
2015-10-19,Las Vegas,2640,3.7746,0.0,65.5
2015-10-20,Las Vegas,2360,3.928,0.0,68.0
2015-10-21,Las Vegas,2285,3.8425,0.0,67.5
2015-10-22,Las Vegas,2270,3.9097,0.0,68.0
2015-10-23,Las Vegas,1945,3.856,0.0,71.0
2015-10-24,Las Vegas,2720,3.9393,0.0,67.5
2015-10-25,Las Vegas,2540,3.7028,0.0,67.0
2015-10-26,Las Vegas,2325,3.9097,0.0,68.0
2015-10-27,Las Vegas,2065,3.6731,0.0,67.0
2015-10-28,Las Vegas,2245,3.8619,0.0,69.0
2015-10-29,Las Vegas,2270,3.87,0.0,64.0
2015-10-30,Las Vegas,1885,3.7162,0.0,66.5
2015-10-31,Las Vegas,2245,3.833,0.0,68.5
2015-11-01,Las Vegas,2360,3.6335,0.0,66.0
2015-11-02,Las Vegas,2500,3.826,0.0,69.0
2015-11-03,Las Vegas,2310,3.816,0.0,59.0
2015-11-04,Las Vegas,2170,3.8664,0.15,49.5
2015-11-05,Las Vegas,1985,3.7179,0.0,51.0
2015-11-06,Las Vegas,1865,3.7802,0.0,54.5
2015-11-07,Las Vegas,2535,3.6785,0.0,54.0
2015-11-08,Las Vegas,2875,3.8522,0.0,54.0
2015-11-09,Las Vegas,2515,3.8708,0.0,57.5
2015-11-10,Las Vegas,2285,3.8709,0.0,53.5
2015-11-11,Las Vegas,2280,3.7193,0.0,52.0
2015-11-12,Las Vegas,2260,3.9535,0.0,52.0
2015-11-13,Las Vegas,2275,3.8879,0.0,56.5
2015-11-14,Las Vegas,2445,3.8098,0.0,55.0
2015-11-15,Las Vegas,2785,3.8384,0.0,53.5
2015-11-16,Las Vegas,2530,3.7905,0.0,52.0
2015-11-17,Las Vegas,2240,3.8371,0.0,50.0
2015-11-18,Las Vegas,2035,3.8722,0.0,51.5
2015-11-19,Las Vegas,1915,3.953,0.0,56.0
2015-11-20,Las Vegas,2010,3.9478,0.0,60.5
2015-11-21,Las Vegas,2570,3.8502,0.0,56.5
2015-11-22,Las Vegas,2520,3.7718,0.0,53.5
2015-11-23,Las Vegas,2565,3.8363,0.0,52.5
2015-11-24,Las Vegas,2305,3.7202,0.0,57.0
2015-11-25,Las Vegas,2400,3.7458,0.0,50.5
2015-11-26,Las Vegas,1685,3.7774,0.0,47.5
2015-11-27,Las Vegas,1920,3.5807,0.0,45.5
2015-11-28,Las Vegas,2520,3.6944,0.0,43.0
2015-11-29,Las Vegas,2880,3.6806,0.0,40.5
2015-11-30,Las Vegas,2660,3.7237,0.0,41.0
2015-12-01,Las Vegas,2175,3.931,0.0,43.5
2015-12-02,Las Vegas,2050,3.878,0.0,46.5
2015-12-03,Las Vegas,1715,3.9563,0.0,47.5
2015-12-04,Las Vegas,1895,3.9551,0.0,48.5
2015-12-05,Las Vegas,2170,3.8456,0.0,49.0
2015-12-06,Las Vegas,2175,3.8437,0.0,48.5
2015-12-07,Las Vegas,2055,3.8273,0.0,50.5
2015-12-08,Las Vegas,1940,3.8608,0.0,52.5
2015-12-09,Las Vegas,2025,3.9037,0.0,52.0
2015-12-10,Las Vegas,2020,3.8441,0.0,54.5
2015-12-11,Las Vegas,1715,3.8834,0.0,52.0
2015-12-12,Las Vegas,1810,3.7762,0.0,50.0
2015-12-13,Las Vegas,2320,3.8341,0.0,48.5
2015-12-14,Las Vegas,2120,3.684,0.0,46.0
2015-12-15,Las Vegas,2045,3.9022,0.0,44.0
2015-12-16,Las Vegas,1895,3.7071,0.0,41.5
2015-12-17,Las Vegas,2140,3.7921,0.0,40.0
2015-12-18,Las Vegas,1770,3.9209,0.0,43.0
2015-12-19,Las Vegas,1995,3.7945,0.0,44.5
2015-12-20,Las Vegas,2290,3.7162,0.0,45.5
2015-12-21,Las Vegas,2225,3.5618,0.0,43.0
2015-12-22,Las Vegas,2245,3.7728,0.0,52.5
2015-12-23,Las Vegas,2260,3.6814,0.0,49.5
